"COMMODITY_DESC","total_kg","prc_from_total"
"Pacific salmon, frozen",28084779098,21.240
"Salmon, canned and prepared",16734774150,12.656
"SOCKEYE (RED) SALMON, EX FILLET/LIVER/ROE, FROZEN",7373127004,5.576
"SOCKEYE SALMON, NOT IN OIL, CANNED",6228222618,4.710
"SOCKEYE (RED) SALMON, FROZEN, EX FILLET/LIVER/ROE",4848042240,3.666
Scallops,4751096388,3.593
"PINK (HUMPIE) SALMON, NOT IN OIL, CANNED",3753453058,2.839
"SALMON ROE, FROZEN",3542184860,2.679
"PINK (HUMPIE) SALMON, FROZEN, EX FILLET/LIVER/ROE",3386576780,2.561
"Shrimp, fresh and prepared",3240167014,2.450
"Shrimp, frozen",3228063730,2.441
"Pacific salmon, fresh",2994632950,2.265
"CHUM (DOG) SALMON, FROZEN, EX FILLET/LIVER/ROE",2942958824,2.226
"SCALLOPS INCL QUEEN, FROZEN/DRIED/SALTED/IN BRINE",2738521246,2.071
"Shrimp, prepared",2293815104,1.735
"PINK (HUMPIE) SALMON (ONCORHYNCHUS GORBUSCHA), FROZEN, EXCEPT FILLETS, LIVERS AN",2258917018,1.708
"SOCKEYE (RED) SALMON, FROZEN, NESOI",2257685188,1.707
Clams,2061009834,1.559
"Atlantic salmon, fresh",1515497840,1.146
"SCALLOPS INCL QUEEN SCALLOPS, LIVE, FRESH, CHILLED",1459602114,1.104
"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1459253280,1.104
ATLANTIC SALMON FARMED FRSH/CHLD EX FILLET/LIV/ROE,1088943628,0.824
"CHUM (DOG) SALMON (ONCORHYNCHUS KETA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES",978155254,0.740
"Shrimp, fresh",946351910,0.716
"COHO (SILVER) SALMON, EX FILLET/LIVER/ROE, FROZEN",898164800,0.679
"SHRIMPS AND PRAWNS, PEELED, FROZEN",871673628,0.659
"SHRIMPS AND PRAWNS, PREPARED, FROZEN, NESOI",845704384,0.640
Oysters,845295560,0.639
SOCKEYE (RED) SALMON FRSH/CHILLD EX FILLET/LVR/ROE,764935064,0.578
"SALMON, NESOI, NOT IN OIL, CANNED",721335556,0.546
"GEODUCK CLAMS, LIVE, FRESH OR CHILLED",711070034,0.538
"GEODUCK CLAMS, LVE/FRSH/CHIL EDIBLE FLOURS/PELTS",672135312,0.508
SHRIMPS/PRAWNS INC SHELL FR/CH/DRD/SALTED/IN BRINE,643914916,0.487
Ornamental fish,589999264,0.446
"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NESOI",584996628,0.442
OYSTERS NESOI LIVE/FRSH/CHLD/FZ/DRD/SALTD/IN BRINE,583721432,0.441
"COHO (SILVER) SALMON, FROZEN, EX FILLET/LIVER/ROE",539650026,0.408
"SCALLOPS, PREPARED OR PRESERVED",515115158,0.390
"FISH, ORNAMENTAL, LIVE",504601338,0.382
"SHRIMPS AND PRAWNS, CANNED",483311768,0.366
"PACIFIC SALMON AND ATLANTIC SALMON FILLETS, FRESH OR CHILLED",413262390,0.313
SHRIMPS/PRAWNS SHELL-ON COUNT SIZE < 33 PER KG FRZ,412081126,0.312
"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",392597080,0.297
PINK (HUMPIE) SALMON FRSH/CHILLD EX FILLET/LVR/ROE,386212590,0.292
"ATLANTIC SALMON (SALMO SALAR), FARMED, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS ",373775656,0.283
"CLAMS, PREPARED OR PRESERVED",355803580,0.269
"SALMONIDAE NESOI, FROZEN, EXCEPT FILLET/LIVER/ROE",344451510,0.260
CHUM (DOG) SALMON FRESH/CHILLD EX FILLET/LIVER/ROE,343816438,0.260
"SALMON, WHOLE OR IN PIECES, BUT NOT MINCED, NESOI",336513372,0.254
"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, PEELED",332051026,0.251
CHINOOK (KING) SALMON FROZEN EX FILLET/LIVER/ROE,321531834,0.243
"PACIFIC SALMON NESOI, EX FILLET,/LIVER/ROE, FROZEN",318716142,0.241
"COHO (SILVER) SALMON, FROZEN, NESOI",293569042,0.222
"SHRIMPS AND PRAWNS, INCLUDING IN SHELL, FROZEN",257564168,0.195
"COHO (SILVER) SALMON (ONCORHYNCHUS KISUTCH), FROZEN, EXCEPT FILLETS, LIVERS AND ",235093756,0.178
"PACIFIC SALMON FILLETS, FROZEN",233212128,0.176
SHRIMP/PRAWN SHELL-ON COUNT SIZE MORE THAN 154 FRZ,231621202,0.175
SHRIMP/PRAWN SHELL-ON COUNT SIZE 67-88 PER KG FRZN,223791690,0.169
"CHUM (DOG) SALMON, FROZEN, NESOI",216285364,0.164
"OYSTERS EXCEPT SEED, LIVE, FRESH OR CHILLED",204389304,0.155
"Trout, fresh and frozen",200346408,0.152
"PINK (HUMPIE) SALMON, FROZEN, NESOI",195715410,0.148
"CHUM (DOG) SALMON, NOT IN OIL, CANNED",191959002,0.145
COHO (SILVER) SALMON FRSH/CHILLD EX FILLET/LVR/ROE,185356312,0.140
"COLD-WATER SHRIMPS AND PRAWNS, INCLUDING IN SHELL, FRESH, CHILLED, DRIED, SALTED",184247268,0.139
"SALMON, NESOI, FRESH OR CHILLED EX FILLET/LVR/ROE",168085442,0.127
"SHRIMPS AND PRAWNS, FROZEN, PEELED, NESOI",163573340,0.124
"PACIFIC SALMON, NESOI, FROZEN, EX FILLET/LIVER/ROE",161102684,0.122
Mussels,146395572,0.111
"SHRIMP, PRAWN PRODUCTS WITH FISH MEAT PREP MEALS",146048666,0.110
"SOCKEYE (RED) SALMON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES",143901118,0.109
SHRIMP/PRAWN SHELL-ON COUNT SIZE 33-45 PER KG FRZN,130234164,0.098
"SHRIMPS AND PRAWNS, FROZEN, IN AIRTIGHT CONTAINERS",121565814,0.092
"SHRIMPS AND PRAWNS, INCLUDING IN SHELL, FRESH, CHILLED, DRIED, SALTED OR IN BRIN",118189726,0.089
"SALMONIDAE, NESOI, FRESH OR CHILLED",117354786,0.089
"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",109255324,0.083
"SOCKEYE (RED) SALMON, FRESH OR CHILLED, NESOI",99164260,0.075
CHINOOK (KING) SALMON FRSH/CHLLD EX FILLET/LVR/ROE,97255992,0.074
SHRIMP/PRAWN SHELL-ON COUNT SIZE 46-55 PER KG FRZN,96899364,0.073
"CLAMS NESOI, LVE/FRSH/CHIL, EDIBLE FLOURS/PELLETS",91530674,0.069
"CLAMS, FROZEN, DRIED, SALTED OR IN BRINE",91201652,0.069
"CHINOOK (KING) SALMON, FROZEN, NESOI",87980678,0.067
SHRIMP AND PRAWN PRODUCTS CONTAINING FISH MEAT; PREPARED MEALS NOT IN AIRTIGHT C,87403378,0.066
"PINK (HUMPIE) SALMON, FRESH OR CHILLED, NESOI",78358120,0.059
SHRIMP/PRAWN SHELL-ON COUNT SIZE 89-110 PER KG FRZ,70991348,0.054
SHRIMP/PRAWN SHELL-ON COUNT SIZE 56-66 PER KG FRZN,70527196,0.053
SHRIMP/PRAWN SHELL-ON COUNT SIZE 111-132 PR KG FRZ,64515434,0.049
"TROUT (SALMO TRUTTA, SALMO CLARKI, ETC.,), FROZEN",64194792,0.049
"MUSSELS, FROZEN, DRIED, SALTED OR IN BRINE",63529106,0.048
TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,63498150,0.048
"TROUT (SALMO TRUTTA, GAIRDNERI, CLARKI ETC.), LIVE",61443588,0.046
"Trout, live",61443588,0.046
"ORNAMENTAL FRESHWATER FISH, LIVE",56443184,0.043
"MUSSELS NOT FARMED LIVE, FRESH OR CHILLED",55673422,0.042
"CLAMS (EXCEPT GEODUCK), WHETHER IN SHELL OR NOT, FROZEN, DRIED, SALTED OR IN BRI",55301904,0.042
"SALMONIDAE, FROZEN, EXCEPT FILLETS, LIVERS AND ROES, NESOI",43287938,0.033
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) LESS THAN 33 ",42625918,0.032
"PACIFIC SALMON, NESOI, FROZEN",41155298,0.031
"CHUM (DOG) SALMON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES",40780560,0.031
"Atlantic salmon, frozen",40600370,0.031
"SCALLOPS, INCLUDING QUEEN SCALLOPS, PREPARED OR PRESERVED",37857870,0.029
"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) LE",36859422,0.028
"COLD WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 56",36431746,0.028
ATLANTIC SALMON NT FARMD FRSH/CHLLD EX FLT/LVR/ROE,35910950,0.027
"TROUT FILLETS, FRESH OR CHILLED",34290864,0.026
"CLAMS, LIVE, FRESH OR CHILLED, EXCEPT GEODUCK CLAMS",34211964,0.026
"CLAMS,EXC GEODCK, FROZEN,DRIED, SALTED OR IN BRINE",33981018,0.026
ATLANTIC & DANUBE SALMON FROZEN EX FILLET/LVR/ROE,29638334,0.022
"ORNAMENTAL FISH (OTHER THAN FRESHWATER), LIVE",28954742,0.022
RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,28720160,0.022
"SOCKEYE (RED) SALMON STEAKS, FROZEN",28119786,0.021
"COHO (SILVER) SALMON, EXCLUDING FILLETS, LIVERS AND ROES, FRESH OR CHILLED",27574032,0.021
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 133-154 PER K",27332384,0.021
"COHO (SILVER) SALMON, FRESH OR CHILLED, NESOI",26111996,0.020
"OYSTERS, FROZEN, DRIED, SALTED OR IN BRINE",25151834,0.019
"CHINOOK (KING) SALMON (ONCORHYNCHUS TSCHAWYTSCHA), FROZEN, EXCEPT FILLETS, LIVER",23684372,0.018
"PACIFIC SALMON (ONCORHYNCHUS MASOU, ONCORHYNCHUS RHODURUS), FROZEN, EXCEPT FILLE",23533522,0.018
"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) MO",23276046,0.018
SHRIMP/PRAWN SHELL-ON COUNT SIZE 133-154 PR KG FRZ,23036380,0.017
"CHUM (DOG) SALMON, FRESH OR CHILLED, NESOI",21879252,0.017
"CHINOOK (KING) SALMON, FRESH OR CHILLED, NESOI",21596822,0.016
"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 89",21259906,0.016
"MUSSELS, FARMED, LIVE, FRESH OR CHILLED",19828180,0.015
"PINK (HUMPIE) SALMON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES",19648588,0.015
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 33-45 PER KG ",18544988,0.014
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 46-55 PER KG ",15967634,0.012
"SHRIMPS AND PRAWNS, NOT FROZEN, IN AIRTIGHT CONTAINERS, NESOI",15272456,0.012
"GEODUCK CLAMS, FROZEN, DRIED, SALTED OR IN BRINE",15249482,0.012
"PACIFIC SALMON, FRESH OR CHILLED, EXCEPT FILLETS, FISH MEAT OF HEADING 0304, LIV",13346292,0.010
"ATLANTIC SALMON (SALMO SALAR), FRESH OR CHILLED, EXCEPT FARMED, FILLETS, LIVERS ",13138518,0.010
"OYSTERS, PREPARED OR PRESERVED",12816974,0.010
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 56-66 PER KG ",12777386,0.010
"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 33",11879980,0.009
"SEED OYSTERS, LIVE",11193580,0.008
"COHO (SILVER) SALMON STEAKS, FROZEN",10544078,0.008
"SALMON, NESOI, FRESH OR CHILLED",10014558,0.008
"ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO), FROZEN, EXCEPT FI",8556644,0.006
"SEED OYSTERS, LIVE, FRESH OR CHILLED",8022436,0.006
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 111-132 PER K",7548214,0.006
"ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO), FRESH OR CHILLED,",7230762,0.005
"CHUM (DOG) SALMON STEAKS, FROZEN",6881028,0.005
"SALMONIDAE, NESOI, FROZEN",6813748,0.005
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 67-88 PER KG ",6427646,0.005
"MUSSELS, LIVE, FRESH OR CHILLED",6354538,0.005
"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS, NESOI",5558084,0.004
"TROUT (SALMO TRUTTA, S. CLARKI ETC) FRESH, CHILLED",5383592,0.004
"CHINOOK (KING) SALMON STEAKS, FROZEN",5202340,0.004
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) MORE THAN 154",4333210,0.003
"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 46",4287666,0.003
"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 11",4120060,0.003
"SHRIMP AND PRAWN PRODUCTS CONTAINING FISH MEAT; PREPARED MEALS, IN AIRTIGHT CONT",3953926,0.003
"SALMONIDAE MEAT, NESOI, FRESH OR CHILLED",3945136,0.003
ATLANTIC SALMON FRESH OR CHILLED EX FILLET/LVR/ROE,3729088,0.003
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 89-110 PER KG",3666854,0.003
"PINK (HUMPIE) SALMON STEAKS, FROZEN",3221618,0.002
"TROUT FILLETS, FROZEN",2659402,0.002
"SOCKEYE (RED) SALMON STEAKS, FRESH OR CHILLED",2456274,0.002
"ATLANTIC AND DANUBE SALMON, FROZEN, NESOI",2399250,0.002
"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 67",1691990,0.001
"TROUT (SALMO TRUTTA; ONCORHYNCHUS MYKISS, CLARKI, AGUABONITA, GILAE, APACHE AND ",1330266,0.001
"PACIFIC SALMON STEAKS, NESOI, FROZEN",1177288,0.001
"MUSSELS, PREPARED OR PRESERVED",1010326,0.001
"COHO (SILVER) SALMON STEAKS, FRESH OR CHILLED",675616,0.001
"CHINOOK (KING) SALMON STEAKS, FRESH OR CHILLED",645830,0.000
"GEODUCK CLAMS, INCLUDING FLOURS, MEALS AND PELLETS FIT FOR HUMAN CONSUMPTION, FR",524214,0.000
"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 13",472614,0.000
"SALMON STEAKS, NESOI, FRESH OR CHILLED",282594,0.000
"CHUM (DOG) SALMON STEAKS, FRESH OR CHILLED",277426,0.000
"SMOKED TROUT, INCLUDING FILLETS, OTHER THAN EDIBLE OFFAL",269182,0.000
"PINK (HUMPIE) SALMON STEAKS, FRESH OR CHILLED",260110,0.000
"SALMONIDAE STEAKS, NESOI, FROZEN",222400,0.000
"CHINOOK (KING) SALMON, EXCLUDING FILLETS, LIVERS AND ROES, FRESH OR CHILLED",204590,0.000
"ATLANTIC SALMON AND DANUBE SALMON STEAKS, FROZEN",6142,0.000
